년/월/일,종가,거래량(주),시가,고가,저가
2020-02-06,"61,100","14,727,159","60,100","61,100","59,700"
2020-02-05,"59,500","19,278,165","60,000","60,200","58,900"
2020-02-04,"58,900","21,800,192","57,100","59,000","56,800"
2020-02-03,"57,200","23,995,260","55,500","57,400","55,200"
2020-01-31,"56,400","19,749,457","57,800","58,400","56,400"
2020-01-30,"57,200","20,821,939","58,800","58,800","56,800"
2020-01-29,"59,100","16,446,102","59,100","59,700","58,800"
2020-01-28,"58,800","23,664,541","59,400","59,400","58,300"
2020-01-23,"60,800","14,916,555","61,800","61,800","60,700"
2020-01-22,"62,300","15,339,565","60,500","62,600","60,400"
2020-01-21,"61,400","11,142,693","62,000","62,400","61,200"
2020-01-20,"62,400","12,528,855","62,000","62,800","61,700"
2020-01-17,"61,300","16,025,661","61,900","62,000","61,000"
2020-01-16,"60,700","14,381,774","59,100","60,700","59,000"
2020-01-15,"59,000","14,300,928","59,500","59,600","58,900"
2020-01-14,"60,000","16,906,295","60,400","61,000","59,900"
2020-01-13,"60,000","11,359,139","59,600","60,000","59,100"
2020-01-10,"59,500","16,000,170","58,800","59,700","58,300"
2020-01-09,"58,600","24,102,579","58,400","58,600","57,400"
2020-01-08,"56,800","23,501,171","56,200","57,400","55,900"
2020-01-07,"55,800","10,009,778","55,700","56,400","55,600"
2020-01-06,"55,500","10,278,951","54,900","55,600","54,600"
2020-01-03,"55,500","15,422,255","56,000","56,600","54,900"
2020-01-02,"55,200","12,993,228","55,500","56,000","55,000"
2019-12-30,"55,800","8,356,767","56,200","56,600","55,700"
2019-12-27,"56,500","12,313,056","55,700","56,900","55,500"
2019-12-26,"55,400","9,645,034","54,700","55,400","54,400"
2019-12-24,"55,000","11,868,463","55,600","55,700","54,800"
2019-12-23,"55,500","9,839,252","56,100","56,400","55,100"
2019-12-20,"56,000","12,095,519","56,100","56,500","55,600"
2019-12-19,"56,000","14,180,520","57,000","57,300","55,500"
2019-12-18,"56,300","15,558,208","56,700","57,200","56,000"
